mission_id,sector_id,status,centre_lat,centre_lng,north,south,east,west,aircraft_count,airport_count,storage_tank_count,total_detections,average_confidence,prediction_url
mission_20260530130536,A1,Complete,33.61322966690622,73.0976221371314,33.61435255587496,33.61188220014374,73.09924008227884,73.09627384950853,6,0,0,6,0.9114,/captures/missions/mission_20260530130536/predictions/sector_A1_pred.jpg
mission_20260530130536,A2,Complete,33.61322966690622,73.10031871237715,33.61435255587496,33.61188220014374,73.10193665752458,73.0987007672297,1,0,0,1,0.4789,/captures/missions/mission_20260530130536/predictions/sector_A2_pred.jpg
mission_20260530130536,A3,Complete,33.61322966690622,73.10301528762287,33.61435255587496,33.61188220014374,73.10463323277031,73.10139734247544,0,0,0,0,0,/captures/missions/mission_20260530130536/predictions/sector_A3_pred.jpg
mission_20260530130536,A4,Complete,33.61322966690622,73.10571186286862,33.61435255587496,33.61188220014374,73.10706015049148,73.10409391772117,1,0,0,1,0.8433,/captures/missions/mission_20260530130536/predictions/sector_A4_pred.jpg
mission_20260530130536,B1,Complete,33.61098388896875,73.0976221371314,33.61233135573123,33.609636422206265,73.09924008227884,73.09627384950853,1,0,0,1,0.8987,/captures/missions/mission_20260530130536/predictions/sector_B1_pred.jpg
mission_20260530130536,B2,Complete,33.61098388896875,73.10031871237715,33.61233135573123,33.609636422206265,73.10193665752458,73.0987007672297,7,0,0,7,0.8917,/captures/missions/mission_20260530130536/predictions/sector_B2_pred.jpg
mission_20260530130536,B3,Complete,33.61098388896875,73.10301528762287,33.61233135573123,33.609636422206265,73.10463323277031,73.10139734247544,3,0,0,3,0.8597,/captures/missions/mission_20260530130536/predictions/sector_B3_pred.jpg
mission_20260530130536,B4,Complete,33.61098388896875,73.10571186286862,33.61233135573123,33.609636422206265,73.10706015049148,73.10409391772117,3,0,0,3,0.8594,/captures/missions/mission_20260530130536/predictions/sector_B4_pred.jpg
mission_20260530130536,C1,Complete,33.60873811103126,73.0976221371314,33.61008557779375,33.607390644268776,73.09924008227884,73.09627384950853,0,0,0,0,0,/captures/missions/mission_20260530130536/predictions/sector_C1_pred.jpg
mission_20260530130536,C2,Complete,33.60873811103126,73.10031871237715,33.61008557779375,33.607390644268776,73.10193665752458,73.0987007672297,5,0,0,5,0.7894,/captures/missions/mission_20260530130536/predictions/sector_C2_pred.jpg
mission_20260530130536,C3,Complete,33.60873811103126,73.10301528762287,33.61008557779375,33.607390644268776,73.10463323277031,73.10139734247544,4,0,0,4,0.7491,/captures/missions/mission_20260530130536/predictions/sector_C3_pred.jpg
mission_20260530130536,C4,Complete,33.60873811103126,73.10571186286862,33.61008557779375,33.607390644268776,73.10706015049148,73.10409391772117,0,0,0,0,0,/captures/missions/mission_20260530130536/predictions/sector_C4_pred.jpg
mission_20260530130536,D1,Complete,33.60649233309378,73.0976221371314,33.607839799856265,33.605369444125046,73.09924008227884,73.09627384950853,0,0,0,0,0,/captures/missions/mission_20260530130536/predictions/sector_D1_pred.jpg
mission_20260530130536,D2,Complete,33.60649233309378,73.10031871237715,33.607839799856265,33.605369444125046,73.10193665752458,73.0987007672297,0,0,0,0,0,/captures/missions/mission_20260530130536/predictions/sector_D2_pred.jpg
mission_20260530130536,D3,Complete,33.60649233309378,73.10301528762287,33.607839799856265,33.605369444125046,73.10463323277031,73.10139734247544,0,0,0,0,0,/captures/missions/mission_20260530130536/predictions/sector_D3_pred.jpg
mission_20260530130536,D4,Complete,33.60649233309378,73.10571186286862,33.607839799856265,33.605369444125046,73.10706015049148,73.10409391772117,0,1,0,1,0.2783,/captures/missions/mission_20260530130536/predictions/sector_D4_pred.jpg
