sector_id,order,row,column,status,detections,classes,capture_url
S001,1,1,1,complete,0,,/captures/missions/mission_20260528_185033_6d344a/S001_annotated.jpg
S002,2,1,2,complete,0,,/captures/missions/mission_20260528_185033_6d344a/S002_annotated.jpg
S003,3,1,3,complete,0,,/captures/missions/mission_20260528_185033_6d344a/S003_annotated.jpg
S004,4,1,4,complete,0,,/captures/missions/mission_20260528_185033_6d344a/S004_annotated.jpg
S005,5,2,4,complete,0,,/captures/missions/mission_20260528_185033_6d344a/S005_annotated.jpg
S006,6,2,3,detection-positive,1,airplane:1,/captures/missions/mission_20260528_185033_6d344a/S006_annotated.jpg
S007,7,2,2,complete,0,,/captures/missions/mission_20260528_185033_6d344a/S007_annotated.jpg
S008,8,2,1,complete,0,,/captures/missions/mission_20260528_185033_6d344a/S008_annotated.jpg
S009,9,3,1,detection-positive,3,airplane:3,/captures/missions/mission_20260528_185033_6d344a/S009_annotated.jpg
S010,10,3,2,complete,0,,/captures/missions/mission_20260528_185033_6d344a/S010_annotated.jpg
S011,11,3,3,detection-positive,1,airplane:1,/captures/missions/mission_20260528_185033_6d344a/S011_annotated.jpg
S012,12,3,4,detection-positive,1,airplane:1,/captures/missions/mission_20260528_185033_6d344a/S012_annotated.jpg
S013,13,4,4,complete,0,,/captures/missions/mission_20260528_185033_6d344a/S013_annotated.jpg
S014,14,4,3,complete,0,,/captures/missions/mission_20260528_185033_6d344a/S014_annotated.jpg
S015,15,4,2,detection-positive,1,airplane:1,/captures/missions/mission_20260528_185033_6d344a/S015_annotated.jpg
S016,16,4,1,detection-positive,1,airplane:1,/captures/missions/mission_20260528_185033_6d344a/S016_annotated.jpg
